Module,Register,Planned_RTL,Actual_Synthesis,Status,Total FF per Module,,Module,Expected,Actual,Differences
Rx_mac,bytes_recived_cnt,32,32,Match,,,TOP,,,
Rx_mac,frame_data,128,89,Partial Opt,,,Rx_mac,,,
Rx_mac,pst,2,2,Match,,,Rx_phy,,,
Rx_mac,rx_mac_done,1,1,Match,,,Tx_mac,,,
Rx_mac,temp_frame,128,89,Partial Opt,,,Tx_phy,,,
Rx_mac,write_ptr,32,29,Partial Opt,242,,fifo_async,,,
Rx_phy,bit_counter,4,0,Optimized Out,,,msg_parser,,,
Rx_phy,br16_acc,29,0,Optimized Out,,,mux_sync,,,
Rx_phy,br16_pulse,1,0,Optimized Out,,,pixel_mem,,,
Rx_phy,br16_pulse_cnt,4,0,Optimized Out,,,rst_n_sync,,,
Rx_phy,busy_en,1,0,Optimized Out,,,sequencer,,,
Rx_phy,o_rx_phy_done,1,0,Optimized Out,,,,,,
Rx_phy,o_rx_phy_vec,8,0,Optimized Out,,,,,,
Rx_phy,pst,2,0,Optimized Out,,,,,,
Rx_phy,rx_data,1,0,Optimized Out,,,,,,
Rx_phy,rx_str_pulse,1,0,Optimized Out,,,,,,
Rx_phy,sample,3,0,Optimized Out,,,,,,
Rx_phy,sample_counter,4,0,Optimized Out,,,,,,
Rx_phy,sample_en,1,0,Optimized Out,,,,,,
Rx_phy,stage,1,0,Optimized Out,,,,,,
Rx_phy,temp_rx_vec,10,0,Optimized Out,0,,,,,
Rx_phy_v0,bit_counter,0,4,Inferred / Generated,,,,,,
Rx_phy_v0,br16_acc,0,20,Inferred / Generated,,,,,,
Rx_phy_v0,br16_pulse,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,br16_pulse_cnt,0,4,Inferred / Generated,,,,,,
Rx_phy_v0,busy_en,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,o_rx_phy_done,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,o_rx_phy_vec,0,8,Inferred / Generated,,,,,,
Rx_phy_v0,pst,0,4,Inferred / Generated,,,,,,
Rx_phy_v0,rx_data,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,rx_str_pulse,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,sample,0,3,Inferred / Generated,,,,,,
Rx_phy_v0,sample_counter,0,4,Inferred / Generated,,,,,,
Rx_phy_v0,sample_en,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,stage,0,1,Inferred / Generated,,,,,,
Rx_phy_v0,temp_rx_vec,0,8,Inferred / Generated,62,,,,,
TOP,btnc_q,1,0,Optimized Out,,,,,,
TOP,reg_read,1,0,Optimized Out,0,,,,,
Tx_mac,byte_index,5,0,Optimized Out,,,,,,
Tx_mac,bytes_transmited_cnt,32,0,Optimized Out,,,,,,
Tx_mac,frame_to_send,128,0,Optimized Out,,,,,,
Tx_mac,last_byte_done_pulse,1,0,Optimized Out,,,,,,
Tx_mac,o_tx_mac_done,1,0,Optimized Out,,,,,,
Tx_mac,o_tx_mac_ready,1,0,Optimized Out,,,,,,
Tx_mac,o_tx_phy_str,1,0,Optimized Out,,,,,,
Tx_mac,o_tx_phy_vec,8,0,Optimized Out,,,,,,
Tx_mac,pst,2,0,Optimized Out,,,,,,
Tx_mac,tx_mac_delay,1,0,Optimized Out,0,,,,,
Tx_mac_v0,byte_index,0,5,Inferred / Generated,,,,,,
Tx_mac_v0,bytes_transmited_cnt,0,32,Inferred / Generated,,,,,,
Tx_mac_v0,frame_to_send,0,121,Inferred / Generated,,,,,,
Tx_mac_v0,last_byte_done_pulse,0,1,Inferred / Generated,,,,,,
Tx_mac_v0,o_tx_mac_done,0,1,Inferred / Generated,,,,,,
Tx_mac_v0,o_tx_phy_str,0,1,Inferred / Generated,,,,,,
Tx_mac_v0,o_tx_phy_vec,0,8,Inferred / Generated,,,,,,
Tx_mac_v0,pst,0,2,Inferred / Generated,,,,,,
Tx_mac_v0,tx_mac_delay,0,1,Inferred / Generated,172,,,,,
Tx_phy,bit_counter,4,0,Optimized Out,,,,,,
Tx_phy,br_counter,6,0,Optimized Out,,,,,,
Tx_phy,byte_done,1,0,Optimized Out,,,,,,
Tx_phy,byte_ready,1,0,Optimized Out,,,,,,
Tx_phy,led_toggle,1,0,Optimized Out,,,,,,
Tx_phy,pause_counter,25,0,Optimized Out,,,,,,
Tx_phy,pst,2,0,Optimized Out,,,,,,
Tx_phy,tx,10,0,Optimized Out,,,,,,
Tx_phy,tx_line,1,0,Optimized Out,0,,,,,
Tx_phy_v0,bit_counter,0,4,Inferred / Generated,,,,,,
Tx_phy_v0,br_counter,0,6,Inferred / Generated,,,,,,
Tx_phy_v0,byte_done,0,1,Inferred / Generated,,,,,,
Tx_phy_v0,byte_ready,0,1,Inferred / Generated,,,,,,
Tx_phy_v0,pst,0,2,Inferred / Generated,,,,,,
Tx_phy_v0,tx,0,8,Inferred / Generated,,,,,,
Tx_phy_v0,tx_line,0,1,Inferred / Generated,23,,,,,
fifo_asycn,fifo_ctrl_r,32,0,Optimized Out,,,,,,
fifo_asycn,o_data,32,0,Optimized Out,,,,,,
fifo_asycn,r_gray_meta,6,0,Optimized Out,,,,,,
fifo_asycn,r_ptr_bin,6,0,Optimized Out,,,,,,
fifo_asycn,r_ptr_gray,6,0,Optimized Out,,,,,,
fifo_asycn,r_ptr_gray_sync,6,0,Optimized Out,,,,,,
fifo_asycn,w_gray_meta,6,0,Optimized Out,,,,,,
fifo_asycn,w_ptr_bin,6,0,Optimized Out,,,,,,
fifo_asycn,w_ptr_gray,6,0,Optimized Out,,,,,,
fifo_asycn,w_ptr_gray_sync,6,0,Optimized Out,,,,,,
fifo_asycn,wait_write,1,0,Optimized Out,0,,,,,
fifo_async,mem,0,1,Inferred / Generated,,,,,,
fifo_async,r_ptr_bin,0,5,Inferred / Generated,,,,,,
fifo_async,r_ptr_gray,0,5,Inferred / Generated,,,,,,
fifo_async,w_gray_meta,0,5,Inferred / Generated,,,,,,
fifo_async,w_ptr_bin,0,5,Inferred / Generated,,,,,,
fifo_async,w_ptr_gray,0,5,Inferred / Generated,,,,,,
fifo_async,w_ptr_gray_sync,0,5,Inferred / Generated,,,,,,
fifo_async,wait_write,0,1,Inferred / Generated,32,,,,,
msg_parser_v0,addr,24,24,Match,,,,,,
msg_parser_v0,blue,8,0,Optimized Out,,,,,,
msg_parser_v0,cmd_ack,1,1,Match,,,,,,
msg_parser_v0,green,8,0,Optimized Out,,,,,,
msg_parser_v0,msg_color_cnt,32,32,Match,,,,,,
msg_parser_v0,msg_led_cnt,32,32,Match,,,,,,
msg_parser_v0,pixel_data,24,24,Match,,,,,,
msg_parser_v0,r_data,32,32,Match,,,,,,
msg_parser_v0,r_en,1,1,Match,,,,,,
msg_parser_v0,red,8,0,Optimized Out,,,,,,
